gene_symbol,log2fc,pval,padj
ADCY6,2.727144,0.0014351626951988855,0.007939253919104985
THRAP3,0.24641703,0.0014354616866248714,0.007939253919104985
PSMG4,0.5819401,0.0014491745156103364,0.008010590195650952
FAM174A,0.5920736,0.0014522160468103287,0.008025146687010872
CSNK2B,0.13764986,0.0014863872146949034,0.008209366689699772
NDUFA6,0.18895632,0.0014981561587441429,0.008268219801997661
EIF3I,0.18866234,0.0015019156780177907,0.008283496791356466
TBX5,2.9414587,0.0015075674408971985,0.008312336237498798
SMARCC2,0.51629645,0.0015158977643417934,0.008355924261981593
C22orf39,0.47398433,0.0015438479124780307,0.008500458598471868
BAG1,0.23939784,0.0015479396206665161,0.008518518018112696
TOPORS,0.47202262,0.0015479943484242023,0.008518518018112696
TP53TG1,0.56138575,0.0015692370215114719,0.008632998969490362
CCDC25,0.38976184,0.0015751613828216301,0.008658323485892898
MAST4,0.4627488,0.001583220274304386,0.008697758321702385
MFAP2,0.74748206,0.0015938451386831884,0.008748794839974552
PTOV1,0.56157124,0.001607463359146092,0.008821084166210007
BRMS1L,1.2636482,0.0016094152235492237,0.00882933095017434
TCF21,1.7927511,0.0016551640479888976,0.009070188269664912
BCAS4,1.6338749,0.0016717794145562118,0.00915473467198761
AP002884.1,2.3718302,0.0016832538686973896,0.009213846761227192
SRSF8,0.42597955,0.0016981521128321946,0.009290224497080304
SLAIN2,0.5957086,0.0017440661549600962,0.009530802873492332
HIRIP3,0.87726307,0.0017560925932138486,0.00958852889968639
C7orf55,0.6972354,0.0017712195777154411,0.009663074177869314
TRAPPC4,0.35602352,0.001792013525216353,0.009771095377926768
PAIP1,0.4080781,0.0018242209542229516,0.009943951317419372
FYTTD1,0.41759473,0.00184540198774368,0.010051201101444132
TMEM56,2.340315,0.0018454295583467256,0.010051201101444132
CDK11B,0.47161716,0.0018729015449825725,0.010189537957235014
RNF146,0.4195236,0.0018809476628494901,0.010230482143000463
CRIPT,0.41856912,0.001904264539352479,0.010354438432729105
TIMP4,2.5306513,0.0019108869780722422,0.010384051783924755
COL16A1,0.76901245,0.0019127192136793227,0.010388918557835039
CEP126,0.9766011,0.0019240521048195585,0.010447586988390545
EPHB6,1.2508919,0.0019328367145166766,0.010492389696528683
EML2,0.93603796,0.0019533710260377975,0.01059800803365209
NRBP1,0.36669967,0.001968461686592352,0.010676936188076917
TTC1,0.27365196,0.001984248612465492,0.010756629781719465
SH3RF1,1.309297,0.0019868435007322485,0.010767727924861486
ANAPC13,0.3176574,0.002009970231977189,0.010890061918196609
CRBN,0.28891614,0.002028035773746726,0.010981889116884639
FAM89B,0.70219433,0.0020374866116139962,0.011026991950882024
FAM3C,0.38563836,0.0020609906966060523,0.011148060268684512
CYB5R1,0.37901878,0.0020623744203695678,0.011152476857345005
MOB4,0.26814377,0.0020657763005842438,0.011164731616846453
PPP5C,0.8513891,0.002074426316431908,0.011208400723738438
CX3CL1,1.1781077,0.002102460642674386,0.011350516517370613
TEAD2,1.3173357,0.0021083208867714695,0.011379029721575798
DNAJC21,0.595056,0.0021138108997351265,0.011405529613225043
PARD3B,1.7767193,0.002137921076272994,0.011525240657981712
CHST3,2.1143599,0.0021558932825853534,0.011616654897833166
RCL1,0.9605538,0.002168019071233981,0.0116787920489322
FMC1,0.5812095,0.002171879211348919,0.011696381553969445
EIF2B2,0.73515385,0.0021967789671771473,0.011823998919418854
PYGM,3.3284197,0.002205898104838936,0.011866585099136295
DMAC1,0.6074894,0.00224022904444488,0.012044676913282808
C11orf73,0.604769,0.0022466054430077486,0.01207235753495992
CRK,0.4521424,0.0022580806440561318,0.012123738889948927
